query_path,count,execution_time,triple_count
/GDD/Thi/wdbench_multiple_bgps_count_all/query_498.sparql,1013168475,265.674,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_640.sparql,398198250,133.756,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_158.sparql,368869491,113.877,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_518.sparql,291754329,390.774,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_149.sparql,191663814,162.023,5
/GDD/Thi/wdbench_multiple_bgps_count_all/query_638.sparql,97279917,30.579,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_407.sparql,70135159,99.259,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_545.sparql,37280216,400.214,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_255.sparql,36355364,167.982,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_633.sparql,34916061,474.032,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_520.sparql,34704348,335.866,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_637.sparql,30986476,470.264,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_256.sparql,29977745,463.878,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_546.sparql,26874372,329.337,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_613.sparql,20987077,43.725,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_547.sparql,19667920,169.364,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_224.sparql,18712619,6.214,5
/GDD/Thi/wdbench_multiple_bgps_count_all/query_352.sparql,17110269,10.718,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_168.sparql,16893224,455.592,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_150.sparql,15906835,18.074,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_151.sparql,15860639,122.23,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_349.sparql,14699166,72.256,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_548.sparql,13668423,138.843,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_138.sparql,11966170,315.356,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_137.sparql,9468982,272.911,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_632.sparql,9312271,87.172,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_629.sparql,9185551,49.277,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_351.sparql,8552531,70.781,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_147.sparql,8501245,57.624,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_469.sparql,7369922,41.974,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_145.sparql,7011884,42.392,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_288.sparql,5886774,14.647,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_146.sparql,5523263,34.677,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_595.sparql,5190655,28.28,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_512.sparql,4792183,37.828,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_391.sparql,4188680,51.121,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_466.sparql,4153822,35.575,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_144.sparql,4127114,27.52,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_513.sparql,4085083,22.098,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_143.sparql,4027946,26.102,5
/GDD/Thi/wdbench_multiple_bgps_count_all/query_148.sparql,3447320,33.218,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_599.sparql,3266451,37.371,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_600.sparql,3209906,51.212,5
/GDD/Thi/wdbench_multiple_bgps_count_all/query_299.sparql,3092998,23.855,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_439.sparql,2832909,5.857,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_435.sparql,2828922,16.907,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_667.sparql,2691419,19.491,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_601.sparql,2681380,87.767,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_597.sparql,2569734,23.78,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_468.sparql,2556498,25.404,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_631.sparql,2550797,18.854,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_14.sparql ,2525062,13.5,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_662.sparql,2471078,21.823,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_596.sparql,2467611,18.376,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_514.sparql,1904750,30.723,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_455.sparql,1717142,10.025,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_395.sparql,1706454,21.333,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_598.sparql,1387844,23.034,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_434.sparql,1383893,20.206,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_447.sparql,1363111,8.016,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_289.sparql,1119076,5.665,2
