Query_Index,Execution_time,Result,
query_545,371.329,37280216,
query_255,428.75,36333175,
query_520,499.717,34696192,
query_633,396.416,31941664,
query_256,791.331,29954929,
query_352,23.261,13718466,
query_349,154.111,13210064,
query_547,280.026,9735877,
query_548,267.721,9698500,
query_629,42.154,9181487,
query_351,43.265,8366814,
query_632,74.122,8202151,
query_469,37.863,7304929,
query_150,29.894,6465182,
query_147,60.804,6446811,
query_151,91.977,6443894,
query_595,77.023,5109648,
query_145,42.31,4969877,
query_466,46.133,4004725,
query_513,28.067,3780495,
query_512,36.1,3780495,
query_391,108.67,3648766,
query_146,39.045,3286102,
query_599,28.551,3208980,
query_299,18.569,3083733,
query_439,11.275,2760849,
query_435,25.183,2756957,
query_14,35.183,2524801,
query_144,114.882,2521439,
query_597,21.097,2511719,
query_667,102.326,2486149,
query_601,37.24,2477424,
query_600,35.141,2477424,
query_468,29.134,2353252,
query_662,62.759,2339954,
query_596,26.337,2336550,
query_631,24.623,2206741,
query_143,104.406,2086367,
query_148,51.747,2064249,
query_613,41.83,1916632,
query_455,11.325,1717142,
query_395,60.405,1614916,
query_514,48.525,1606922,
query_598,26.22,1387786,
query_447,43.995,1281520,
query_434,67.067,1244375,
query_456,67.044,1076107,
query_424,13.34,990549,
query_385,30.347,952232,
query_396,25.798,952232,
query_394,20.087,915327,
query_386,30.025,912735,
query_425,14.453,874120,
query_494,9.624,603430,
query_355,40.935,545722,
query_288,16.714,512028,
query_289,10.15,512028,
query_505,3.447,448876,
query_168,276.947,435402,
query_122,22.23,393384,
query_593,7.092,382447,
query_464,4.074,352787,
query_465,5.035,349696,
query_379,14.8,336688,
query_126,5.038,326891,
query_135,2.983,320726,
query_136,3.196,301570,
query_76,2.55,284037,
query_138,210.335,279051,
query_140,3.479,275458,
query_499,2.415,270194,
query_501,2.156,256311,
query_431,3.912,245189,
query_603,3.302,243085,
query_528,2.276,242305,
query_527,6.826,237823,
query_137,212.355,223432,
query_533,10.755,216182,
query_530,2.1,203358,
query_525,2.24,184011,
query_283,2.531,150022,
query_77,2.696,146859,
query_343,1.748,146188,
query_15,2.2,133536,
query_504,1.458,128744,
query_423,13.721,116493,
query_20,2.723,110506,
query_531,2.595,100281,
query_451,3.379,85597,
query_74,2.479,63067,
query_282,3.87,59005,
query_156,2.368,54313,
query_339,1.491,51224,
query_238,4.815,47985,
query_13,7.093,46995,
query_212,3.028,44630,
query_579,4.995,34907,
query_568,2.093,23408,
query_502,0.825,21638,
query_29,2.215,17226,
query_253,2.138,17133,
query_407,124.472,16801,
query_450,1.489,15836,
query_12,0.721,15089,
query_344,1.051,13131,
query_354,41.675,13043,
query_326,2.133,12026,
query_560,1.047,10004,
query_102,1.102,9775,
query_630,1.484,8938,
query_345,0.692,8606,
query_356,42.859,8495,
query_10,0.683,8080,
query_476,1.275,7211,
query_186,0.973,7123,
query_164,0.641,6963,
query_626,0.89,5922,
query_336,0.991,5683,
query_210,3.305,5377,
query_130,1.052,5237,
query_353,45.192,5196,
query_348,0.638,4723,
query_170,0.611,4432,
query_166,0.922,4355,
query_367,0.321,3857,
query_167,39.211,3810,
query_318,0.775,3402,
query_23,1.833,3378,
query_110,0.905,2427,
query_622,0.909,2166,
query_588,0.348,2120,
query_486,0.927,2107,
query_584,0.783,2100,
query_264,0.903,1959,
query_295,0.383,1791,
query_300,4.985,1648,
query_357,147.061,1205,
query_578,0.465,1183,
query_526,0.559,1105,
query_294,0.494,904,
query_99,0.619,862,
query_477,0.502,851,
query_134,0.507,820,
query_457,0.677,762,
query_515,1.803,726,
query_228,0.49,714,
query_555,0.679,707,
query_478,0.753,667,
query_334,0.533,665,
query_61,0.438,621,
query_324,0.935,430,
query_634,0.324,424,
query_637,495.021,407,
query_627,0.28,400,
query_328,0.933,392,
query_305,0.246,355,
query_427,0.614,337,
query_169,0.386,322,
query_587,0.234,258,
query_52,0.507,256,
query_679,107.726,219,
query_224,10.651,208,
query_573,0.324,196,
query_286,0.306,182,
query_619,0.257,181,
query_567,0.566,180,
query_393,0.307,177,
query_519,0.259,175,
query_42,0.481,163,
query_314,0.47,159,
query_506,0.478,155,
query_316,0.799,155,
query_524,0.315,150,
query_3,1.093,148,
query_656,5.506,128,
query_308,0.545,124,
query_376,0.518,121,
query_165,0.589,120,
query_280,0.332,118,
query_323,0.237,112,
query_119,0.491,106,
query_673,2.14,101,
query_559,0.254,100,
query_216,2.219,98,
query_182,0.319,98,
query_470,0.254,95,
query_358,50.58,93,
query_676,0.323,87,
query_458,0.391,84,
query_558,0.59,79,
query_11,0.225,79,
query_350,0.236,75,
query_485,0.265,67,
query_17,22.938,64,
query_162,0.525,64,
query_208,0.217,60,
query_589,0.346,59,
query_382,0.296,57,
query_346,38.152,50,
query_628,0.252,50,
query_572,0.236,46,
query_677,0.709,45,
query_666,0.309,44,
query_551,0.288,40,
query_380,0.259,38,
query_529,0.212,33,
query_202,0.616,28,
query_298,0.201,25,
query_373,0.271,23,
query_473,48.981,22,
query_319,0.278,21,
query_496,1.414,18,
query_302,0.264,13,
query_360,42.858,10,
query_646,205.644,8,
query_474,0.2,7,
query_552,0.214,7,
query_674,0.246,6,
query_680,0.192,5,
query_195,0.619,5,
query_564,0.239,3,
query_199,0.232,3,
query_590,0.207,3,
query_536,0.202,2,
query_484,0.195,2,
query_371,0.499,2,
query_638,34.086,1,
query_92,0.184,1,
query_105,0.273,1,
query_658,0.182,1,
query_347,40.428,1,
query_523,0.198,0,
query_287,0.185,0,
query_276,0.207,0,
query_131,0.154,0,
query_480,0.191,0,
query_550,0.18,0,
query_582,0.693,0,
query_491,0.2,0,
query_592,0.206,0,
query_204,0.19,0,
query_577,0.186,0,
query_438,0.183,0,
