Triple_Count,Query_Index,Execution_Time_CRAWD,Execution_Time_CL,CRAWD_config1,CHAOLEE_config1,GT,re_crawd_config1,re_chaolee_config1
2,query_545,6.626,8.395,37280216,37280216.0,37280216,0.0,0.0
2,query_255,6.327,8.372,36589841,36589841.62962963,36333175,0.7064232619362333,0.7064249948693635
2,query_520,8.812,8.696,34644358,34635531.60175312,34696192,-0.1493939161969129,-0.17483301408660898
2,query_633,10.215,9.048,31935717,31912527.645692494,31941664,-0.0186183161904151,-0.09121739652482172
3,query_256,9.165,7.873,30006811,30006811.217477653,29954929,0.1732002102224979,0.17320093623875113
2,query_349,5.176,7.716,13256254,11539318.017766438,13210064,0.3496576549515581,-12.647523753356241
2,query_352,4.542,6.456,12877474,9706157.68607125,13718466,-6.13036472153665,-29.247499785535418
2,query_548,9.312,8.504,9857407,3699369.924525083,9698500,1.638469866474197,-61.856267211165815
2,query_547,10.027,9.82,9614238,497962.2851354242,9735877,-1.2493892435165317,-94.88528578231397
2,query_629,5.466,7.328,9181486,9181487,9181487,0,0.0
2,query_351,7.445,7.715,8330625,8132801.947416474,8366814,-0.4325302319377483,-2.796907551470917
2,query_632,8.282,7.505,8190087,7973757.043764441,8202151,-0.147083368740712,-2.7845617111360026
2,query_469,6.248,6.84,7306278,7306278.000000001,7304929,0.0184669830466524,0.018466983046665223
2,query_150,5.611,6.289,6459729,5115578.115354362,6465182,-0.0843441066314915,-20.87495579622721
3,query_151,6.649,7.553,6448350,5058777.348116302,6443894,0.0691507340126948,-21.49502539743357
2,query_147,6.291,7.387,6378480,4786611.116209171,6446811,-1.0599193927043928,-25.75226548119418
2,query_595,8.063,7.102,5106022,5026116.604371463,5109648,-0.0709637924177947,-1.6347778874109733
3,query_145,8.461,7.835,5051533,5052775.757311252,4969877,1.6430185294324189,1.6680243255769094
3,query_466,8.564,8.295,4004720,4008296.4887018376,4004725,-0.0001248525179631,0.08918187146027762
4,query_512,5.871,8.7,3795118,3038421.31382233,3780495,0.3868011993138465,-19.629008534005997
2,query_513,5.668,6.908,3794710,3510373.2919490617,3780495,0.3760089617893953,-7.145141259304359
2,query_391,4.942,6.51,3643149,3477668.4730574377,3648766,-0.1539424561618914,-4.689188809108677
2,query_146,5.585,6.78,3263217,2914889.9210276506,3286102,-0.6964178226969218,-11.296425946983673
