Query_Index,Triple_Count,GT,CRAWD_config1,re_crawd_config1,Execution_Time_CRAWD
query_545,2,37280216,37280216,0.0,6.626
query_255,2,36333175,36589841,0.7064232619362333,6.327
query_520,2,34696192,34644358,-0.1493939161969129,8.812
query_633,2,31941664,31935717,-0.018618316190415127,10.215
query_256,3,29954929,30006811,0.17320021022249793,9.165
query_349,2,13210064,13256254,0.34965765495155815,5.176
query_352,2,13718466,12877474,-6.13036472153665,4.542
query_548,2,9698500,9857407,1.638469866474197,9.312
query_547,2,9735877,9614238,-1.2493892435165317,10.027
query_629,2,9181487,9181486,-1.0891481957116533e-05,5.466
query_351,2,8366814,8330625,-0.4325302319377483,7.445
query_632,2,8202151,8190087,-0.14708336874071204,8.282
query_469,2,7304929,7306278,0.018466983046652473,6.248
query_150,2,6465182,6459729,-0.08434410663149158,5.611
query_151,3,6443894,6448350,0.06915073401269481,6.649
query_147,2,6446811,6378480,-1.0599193927043928,6.291
query_595,2,5109648,5106022,-0.07096379241779473,8.063
query_145,3,4969877,5051533,1.6430185294324187,8.461
query_466,3,4004725,4004720,-0.000124852517963156,8.564
query_512,4,3780495,3795118,0.3868011993138465,5.871
query_513,2,3780495,3794710,0.3760089617893953,5.668
query_391,2,3648766,3643149,-0.15394245616189145,4.942
query_146,2,3286102,3263217,-0.6964178226969218,5.585
query_599,2,3208980,3188864,-0.6268658576868662,5.338
query_299,2,3083733,3084432,0.02266733209392642,8.069
query_439,2,2760849,2768589,0.28034854495845296,5.138
query_435,3,2756957,2747847,-0.3304367822929411,5.649
query_144,3,2521439,2533199,0.4664003372677269,5.091
query_14,2,2524801,2524827,0.001029784129521495,7.728
query_597,2,2511719,2514777,0.1217492880373959,5.376
query_601,3,2477424,2487939,0.42443279793850386,5.908
query_667,2,2486149,2463259,-0.9207010521091052,5.286
query_600,5,2477424,2454592,-0.9216024386620941,5.809
query_662,2,2339954,2345784,0.24915019696968405,5.287
query_596,3,2336550,2342393,0.250069546981661,5.823
query_468,4,2353252,2312304,-1.740060138055763,5.878
query_631,2,2206741,2206291,-0.02039206232176771,7.56
query_143,5,2086367,2085833,-0.02559472997799524,6.606
query_148,4,2064249,2067712,0.16776076917077348,5.978
query_613,2,1916632,1951555,1.822102521506476,9.046
query_455,2,1717142,1719762,0.1525791111043816,7.415
query_395,2,1614916,1647221,2.000413643805622,5.579
query_514,4,1606922,1614111,0.4473770351018904,5.937
query_598,2,1387786,1396271,0.6114055048833177,12.324
query_447,2,1281520,1275115,-0.4997971159248393,7.2
query_434,4,1244375,1256626,0.9845102963335007,6.618
query_456,2,1076107,1076408,0.027971196172871287,6.981
query_424,5,990549,999920,0.9460410338105435,6.071
query_385,2,952232,949657,-0.27041729326466657,6.632
query_396,4,952232,928638,-2.4777575212763274,8.976
query_394,2,915327,925638,1.1264826668502077,5.58
query_386,3,912735,908278,-0.4883125989471205,7.343
query_425,6,874120,865510,-0.9849906191369606,5.91
query_494,2,603430,609738,1.04535737368046,8.109
query_355,3,545722,574046,5.1901884109491645,6.008
