Query_Index,Execution_Time,Result,Triple_Count
query_1,2408,10.0,2
query_10,1580,8083.132788127504,2
query_100,1717,4.859869881634279E8,3
query_101,1738,9.317709976706306E9,4
query_102,1987,13235.76828765462,4
query_103,2593,5.4810827E7,2
query_104,19483,5.790951798663858E12,2
query_105,1978,0.9537985726926163,4
query_106,2351,2.874953336E10,2
query_107,1814,3.3443264276491394E9,7
query_108,1965,3.379067250087742E9,6
query_109,2009,1.3068812879218853E9,5
query_11,1750,78.97559681697612,2
query_110,2688,2410.569437475609,2
query_111,2364,1.812448322996406E11,3
query_112,1931,3.608019243975422E9,3
query_113,2064,9.69692791856362E7,5
query_114,1967,2.3298410427812355E10,5
query_115,1801,1.638528215825272E8,4
query_116,1899,2.0448905647277758E9,4
query_117,2232,2.2942134990706696E10,6
query_118,2136,3.255846450644445E17,6
query_119,3027,106.35467913532561,3
query_12,1755,15088.607486903804,2
query_120,2350,6.03765886005011E9,3
query_121,1730,8.0297349482694E8,3
query_122,1797,748864.0243142145,3
query_123,2207,2431303.73093367,3
query_124,2270,4.445395606440001E11,2
query_125,3042,1.4410071649369535E10,4
query_126,2097,334823.46068418445,3
query_127,2495,4.871373181165338E12,2
query_128,3035,3.02615043012E11,2
query_129,2128,2.4098636118475254E10,5
query_13,2540,363940.75974158105,3
query_130,1988,5280.12236631016,3
query_131,107993,0.0,3
query_132,2615,1.2215424895799998E11,2
query_133,3209,4.095564151310346E7,3
query_134,1561,818.5425731395044,3
query_135,1915,320723.3541562519,2
query_136,1976,309706.4834984449,3
query_137,2116,8938175.647878964,4
query_138,3172,1.2175395729956407E7,4
query_139,2260,0.0,5
query_14,2998,2525054.229885402,2
query_140,2138,634707.1747711027,3
query_141,2001,4.498784379982662E11,3
query_142,1909,1.2536992778554103E9,5
query_143,1901,4019398.347397743,5
query_144,2316,4122250.497996485,3
query_145,2096,6965885.393468559,3
query_146,2126,5522434.580408247,2
query_147,2680,8500109.249877727,2
query_148,2035,3434400.000733205,4
query_149,2708,1.1694133707802532E7,5
query_15,1695,133589.70291360075,3
query_150,1613,1.5941032976185003E7,2
query_151,2212,1.5907636426938727E7,3
query_152,3285,3.7563954284049054E22,5
query_153,1941,2.821340550928241E10,5
query_154,2131,1.6696941084587972E24,4
query_155,3335,3.840513540925627E12,2
query_156,2151,476378.4121964992,3
query_157,2742,1.475940331E9,2
query_158,3175,4.0959194730351096E8,2
query_159,3186,3.872201975679163E12,2
query_16,2778,1.4312910586855332E12,5
query_160,2707,1.38127588186079E11,3
query_161,2562,4.2657235E7,2
query_162,2824,62.800285566886735,2
query_163,1467,8.565236603085895E8,5
query_164,1834,6961.292739204699,3
query_165,3355,119.90037821721678,3
query_166,1873,5928.073757545333,4
query_167,2910,3820.0490851059612,4
query_168,2149,1.869577664496466E7,4
query_169,1516,1093.5957845571136,5
query_17,2446,0.0,6
query_170,1783,5673.342742295667,2
query_171,1338,0.0,6
query_172,2078,4.909119939E9,2
query_173,2152,1361942.0,2
query_174,2131,1.168546236E9,2
query_175,2041,2.7415211489000004E10,2
query_176,2592,1.2802254800000001E8,2
query_177,1419,825481.0,3
query_178,2491,1.67479506E8,2
query_179,1463,9180990.351255622,4
query_18,1756,173055.0,2
query_180,2771,52441.00000000001,2
query_181,1549,346137.74942058214,7
query_182,1471,2596.445076576474,2
query_183,2569,7.977476570880731E10,4
query_184,2176,8.826533307345503E10,3
query_185,1562,2.1580517811026573E7,5
query_186,2096,8071.856757074087,3
query_187,1815,41391.45726521504,3
query_188,2421,4311013.0,2
query_189,2351,2.5687368000000003E8,2
query_19,1900,1.0769921292765921E8,4
query_190,1530,9.652032208505636E8,3
query_191,1949,1.4851199959526438E10,3
query_192,2944,1.7028649456E10,2
query_193,1713,1.1457633712009608E15,4
query_194,2281,2.0700001108566028E8,3
query_195,2799,5.277333408916981,3
query_196,2476,5.04567E8,2
query_197,2922,3.2602894688000004E10,2
query_198,2312,1.6035488459999998E9,2
query_199,2343,2.9336037961386605,2
query_2,2671,1.0,2
query_20,2021,110953.45329214836,3
query_200,2052,1477124.0,2
query_201,2809,7.52758299973536E7,3
query_202,2596,28.523662561850507,3
query_203,2634,1.6534421271930493E7,4
query_204,2630,0.0,2
query_205,2533,1.6099017593E10,2
query_206,2030,3.1964013999999996E7,2
query_207,2987,1745145.0660385904,4
query_208,1403,60.05469044958971,2
query_209,1955,4.0027383311563446E10,3
