Query_Index,Execution_Time,Result,Triple_Count
query_1,2408,10.0,2
query_494,2549,1031324.2084407991,2
query_493,2896,2313734724.0,2
query_492,2676,85055523.0,2
query_491,2545,0.0,2
query_490,3115,1588397251.0,2
query_49,2534,7304703720.000001,2
query_489,2233,335664.0,2
query_488,63234,0.0,2
query_485,1554,66.77915034648991,2
query_484,2314,2.006735948749112,2
query_483,2247,18161974.0,2
query_481,3061,129110228152.00002,2
query_477,2391,851.0,2
query_476,1736,7205.408133676466,2
query_475,2595,1119633550699.9998,2
query_474,2240,7.0,2
query_473,4992,15.42239133587004,2
query_472,2979,3083249316.0,2
query_471,2700,146125560.0,2
query_470,1456,95.27890771061128,2
query_469,3517,7373641.88316,2
query_467,2821,80053018868.0,2
query_464,2418,352219.5726425901,2
query_463,2674,1357831800.0000002,2
query_462,2519,11137702380.0,2
query_461,2275,30100345710.0,2
query_458,2913,84.28335660386239,2
query_495,2339,100094656.0,2
query_457,2703,762.9292129989759,2
query_499,2449,270210.0651900252,2
query_50,2334,25014168.000000004,2
query_536,2586,1.9922159717923185,2
query_535,3316,2263139544224.0,2
query_534,2903,499831216.00000006,2
query_532,2576,107181380.0,2
query_531,1955,129215.90064200285,2
query_530,2137,214384.7429353672,2
query_529,1567,33.0641266119578,2
query_528,2118,269590.2262022961,2
query_527,2463,258999.91219763647,2
query_526,1312,1106.967069030805,2
query_525,2132,191753.7814436857,2
query_524,1731,291.5196584930388,2
query_523,2872,0.0,2
query_522,2304,8911046592.000002,2
query_520,10345,34708014.0002195,2
query_518,4073,306197374.8884162,2
query_513,2224,4085830.939726793,2
query_510,3150,420585556496.0,2
query_51,2300,285274848.0,2
query_509,3331,7730812053.999999,2
query_507,3578,4167238230639.2217,2
query_506,2750,155.91097843153457,2
query_505,2265,448917.7722946565,2
query_504,2229,128746.62915376163,2
query_502,2030,21639.744518979875,2
query_501,2248,256323.85740420475,2
query_500,2796,167837100.0,2
query_5,2251,9704244.0,2
query_537,3047,157820172640.0,2
query_456,2176,1088927.8420516634,2
query_448,2161,96140304224.99998,2
query_379,3120,352018.72952129005,2
query_372,2620,100691474.0,2
query_370,2808,838829348.0,2
query_369,2765,1677486720.0,2
query_368,2935,11928066920.0,2
query_367,1716,4086.513247661979,2
query_366,2490,259240066848.0,2
query_365,2913,150986588256.0,2
query_364,2888,3779213760.0,2
query_361,3114,102266616118495.52,2
query_352,2495,17757065.22595705,2
query_351,2854,8554685.301156998,2
query_350,1656,74.85601314658948,2
query_349,2763,14691218.530819334,2
query_348,1548,4791.980204906748,2
query_345,1605,8765.604303086997,2
query_344,1843,13330.008596494672,2
query_342,2642,296425089.0,2
query_341,2467,1948754778.0,2
query_339,3020,51229.28422241397,2
query_336,3770,5620.608647341416,2
query_335,2616,226816920.0,2
query_334,2796,665.118628030751,2
query_331,2779,690897334545.0,2
query_330,2747,156735831522.0,2
query_329,2330,35106483954.0,2
query_326,4842,12092.510583442909,2
query_380,2759,40.213285291597074,2
query_455,1997,1717982.1997595895,2
query_385,5297,960852.2234682544,2
query_393,1519,179.4915517635408,2
query_447,1869,1361258.769353472,2
query_444,2460,216823107930.0001,2
query_443,2885,336857400.0,2
query_439,2055,2836254.1073452504,2
query_421,3559,2560431315959.9995,2
query_420,2465,83641596920.0,2
query_419,2987,6078144394.0,2
query_418,2807,19209873688.0,2
query_415,3175,20093286928.0,2
query_413,2573,97286904.0,2
query_412,2845,28852344.0,2
query_411,3052,47936887121.99999,2
query_410,2831,666112828.0,2
query_409,75760,0.0,2
query_408,3854,370826769575560.5,2
query_407,4311,18419445.581649277,2
query_406,3023,135546215.0,2
query_404,3047,728076811.9999999,2
query_403,2692,96818725.0,2
query_98,2804,27625948758.000004,2
query_401,2889,54218486.0,2
query_400,2777,2099029958.0,2
query_4,2746,67974490448.0,2
query_398,3080,70600214270.0,2
query_397,2427,213001195.0,2
query_395,2531,1706073.5079284655,2
query_394,4707,953028.7566909222,2
query_391,2444,4183028.36700267,2
query_538,2785,56576676.0,2
query_539,3018,214680452064.0,2
query_540,2011,24594.0,2
query_655,2216,10065177.000000002,2
query_654,2297,5124293446.0,2
query_653,2594,2201115448.0,2
query_650,69272,0.0,2
query_649,67948,0.0,2
query_648,1983,4330561.0,2
query_645,3077,4951900096.0,2
query_644,2364,9052416.0,2
